,SPY,JPM
2011-10-19,73.6985182343,68.0620167775
2011-10-20,63.1686431232,59.0917106534
2011-10-21,62.9455730055,68.6958379014
2011-10-24,62.6908061593,69.3848094288
2011-10-25,52.6835871761,61.7951651666
2011-10-26,52.9467354965,60.3677222402
2011-10-27,64.3043110441,76.1836976026
2011-10-28,64.6486389582,66.9816254372
2011-10-31,63.8011287365,65.5765223601
2011-11-01,50.3981283869,52.0394201783
2011-11-02,58.6660396963,50.6134895857
2011-11-03,68.1668157275,58.8231189738
2011-11-04,59.0011372012,50.8032502933
2011-11-07,58.9160987619,48.6096398696
2011-11-08,67.949061949,56.4019014304
2011-11-09,56.6209032847,46.6019809
2011-11-10,53.7826972437,32.3118980382
2011-11-11,53.0751314452,40.9638209572
2011-11-14,54.5480583482,43.357487284
2011-11-15,59.7740213109,57.9649250948
2011-11-16,49.4381199597,47.0364675763
2011-11-17,36.2625315789,33.9871495347
2011-11-18,36.8773972453,33.5532029793
2011-11-21,28.0199698602,25.401336456
2011-11-22,18.3586165503,16.6789694771
2011-11-23,19.4077110399,17.3587112392
2011-11-25,9.42478574814,23.3988569378
2011-11-28,9.83872875835,25.5676665059
2011-11-29,18.9060190142,24.7218537795
2011-11-30,32.225791609,29.7538327512
2011-12-01,41.3092316266,30.4265692733
2011-12-02,54.1832729941,48.8717903066
2011-12-05,64.7323456659,59.2044346975
2011-12-06,74.8720039706,58.7925336614
2011-12-07,73.6483308289,67.2414625052
2011-12-08,72.6171048404,65.9602713766
2011-12-09,78.2732125315,67.412343026
2011-12-12,68.7615944957,59.6628880628
2011-12-13,58.7972018901,58.6590791957
2011-12-14,46.5012962382,48.6298526508
2011-12-15,46.9400522497,55.3878048053
2011-12-16,36.9894951294,51.5448952979
2011-12-19,27.2544142792,39.9634846075
2011-12-20,28.6194932603,50.2429722306
2011-12-21,38.2448013578,48.3877805842
2011-12-22,46.4362758644,58.6649173428
2011-12-23,43.1501266502,56.8659190474
2011-12-27,51.1354865393,59.6536873755
2011-12-28,54.9294883678,64.6252388081
2011-12-29,66.8254130772,74.7758203161
2011-12-30,64.5666449543,73.6225007483
